Wine_ID,GrapeVariety_ID,SoilComposition_ID,Winery_ID,ClimateData_ID,ProductionProcess_ID,Quality,Fixed_Acidity,Volatile_Acidity,Citric_Acid,Residual_Sugar,Chlorides,Free_Sulfur_Dioxide,Total_Sulfur_Dioxide,Density,PH,Sulphates,Alcohol
WINE01,GV01,SC01,W01,CD01,PP01,7.5,7.4,0.7,0.0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4
WINE02,GV02,SC02,W02,CD02,PP02,8.2,7.8,0.88,0.0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8
WINE03,GV03,SC03,W03,CD03,PP03,6.8,7.6,0.65,0.01,1.8,0.072,14,45,0.9972,3.4,0.54,10.2
WINE04,GV04,SC04,W04,CD04,PP04,7.9,7.1,0.72,0.0,2.0,0.08,19,56,0.9969,3.25,0.6,11.0
WINE05,GV05,SC05,W05,CD05,PP05,8.5,7.5,0.8,0.02,2.3,0.084,12,30,0.9974,3.48,0.58,10.4
WINE06,GV06,SC06,W06,CD06,PP06,7.0,7.9,0.75,0.01,2.1,0.07,15,40,0.9971,3.5,0.55,10.6
WINE07,GV07,SC07,W07,CD07,PP07,6.5,7.3,0.78,0.0,1.7,0.075,10,25,0.9976,3.45,0.52,9.5
WINE08,GV08,SC08,W08,CD08,PP08,8.0,7.7,0.82,0.0,2.4,0.077,20,50,0.9965,3.35,0.62,11.2
WINE09,GV09,SC09,W09,CD09,PP09,7.4,7.2,0.85,0.01,1.5,0.073,17,42,0.9973,3.3,0.59,9.9
WINE10,GV10,SC10,W10,CD10,PP10,8.8,7.9,0.9,0.0,2.7,0.08,22,60,0.9962,3.22,0.65,12.0
